ID,[Area] Sample127,[Area] Sample128,[Area] Sample129,[Area] Sample130,[Area] Sample131,[Area] Sample132,[Area] Sample133,[Area] Sample134,[Area] Sample137,[Area] Sample138,[Area] Sample139,[Area] Sample140,[Area] Sample141,[Area] Sample142,[Area] Sample143,[Area] Sample144,[Area] Sample145,[Area] Sample148,[Area] Sample149,[Area] Sample150,[Area] Sample151,[Area] Sample152,[Area] Sample153,[Area] Sample154,[Area] Sample155,[Area] Sample158,[Area] Sample159,[Area] Sample160,[Area] Sample161,[Area] Sample162,[Area] Sample163,[Area] Sample164,[Area] Sample165,[Area] Sample168,[Area] Sample169,[Area] Sample170,[Area] Sample171,[Area] Sample172,[Area] Sample173,[Area] Sample174,[Area] Sample175,[Area] Sample178,[Area] Sample179,[Area] Sample180,[Area] Sample181,[Area] Sample182,[Area] Sample183,[Area] Sample184,[Area] Sample185,[Area] Sample186,[Area] Sample189,[Area] Sample190,[Area] Sample191,[Area] Sample192,[Area] Sample193,[Area] Sample194,[Area] Sample195,[Area] Sample196,[Area] Sample197,[Area] Sample200,[Area] Sample201,[Area] Sample202,[Area] Sample203,[Area] Sample204,[Area] Sample205,[Area] Sample206,[Area] Sample207,[Area] Sample218,[Area] Sample219,[Area] Sample220,[Area] Sample221,[Area] Sample222,[Area] Sample223,[Area] Sample224,[Area] Sample225,[Area] Sample226,[Area] Sample229,[Area] Sample230,[Area] Sample231,[Area] Sample232,[Area] Sample233,[Area] Sample234,[Area] Sample235,[Area] Sample236,[Area] Sample239,[Area] Sample240,[Area] Sample241,[Area] Sample242,[Area] Sample243,[Area] Sample244
name,y60,y48, y33,w36,g13,r110,b18,PW,y60,r110,y60,b18,g13,w36,w36,b18,08A529,04LO73,03LO50,04LO60,12LO75,13LO82,08LO29,12LO38,08LO24,10LO33,04LO73,03LO50,04LO60,2LO75,13LO82,08LO29,12LO38,08LO24,10LO33,17RB16,17RB16,17RB35,17RB35,17RB61,17RB61,17RB68,17RB68,13CLM14,13CLM1,13CLM2,13CLM7,13CLM8,13CLM9,13CLM10,13CLM11,R6,R7,E14,E15,E16,R2,E20,E11,E13,E16,E14,R5,295,39,17-2,17-4,17-3,gigi,46,47,48,49,50,MT-5,3728,3730,830,10206,10207,10208,10211,10216,10217,10428,04LO49,05LO53,11LO40,11LO44,13LO02
class,Chronic,Chronic,Chronic,Negative,Negative,Chronic,Negative,Negative,Chronic,Chronic,Chronic,Negative,Negative,Negative,Negative,Negative,Sample,Sample,Sample,Chronic,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Chronic,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Negative,Chronic,Negative,Negative,Negative,Negative,Negative,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Negative,Negative,Negative,Negative,Sample
year,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2015,2013,2015,2015,2013,2016,2014,2014,2014,2015,2012,2013,2013,2012,2014,2012,2013,2014,2013,2018,2017,2018,2017,2017,2018,2018,2017,2013,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2014,2013,2011,2013,2013
herd,7,7,20,10,10,20,20,20,7,20,7,20,10,10,10,20,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,20,20,20,20,20,20,20,20,20,7,7,7,7,7
month,11,12,1,1,1,1,2,2,2,6,8,10,10,10,11,11,1,2,2,1,2,3,2,3,3,3,12,12,2,12,12,12,12,12,2,2,2,2,2,2,2,2,2,12,12,12,12,12,12,12,12,7,9,7,9,10,12,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,2,2,12
588.3877a4.3,3093.225324,6000.518229,0,0,0,0,0,0,3695.062383,18384.82203,10373.95187,0,0,8600.619649,5234.058371,3972.224501,48274.54077,0,0,0,6972.205681,6537.403659,4235.556158,0,0,10483.87523,0,0,10574.90228,0,3355.845558,0,17993.04716,33445.60789,7807.140953,13479.66129,20993.21539,0,9291.938352,48325.36214,0,4590.999898,10089.81448,0,4953.570018,32876.00313,17234.08198,0,6891.85576,0,0,6101.609369,0,52182.02552,7870.314371,0,0,5128.314576,0,3307.499625,0,5137.816566,3584.456582,10027.98631,3213.539655,41168371.23,104158.8025,49770004.51,14495.58931,4968882.433,7200584.294,25861.01861,23975.18995,20575.94864,32067.09272,8513.487857,5899.435347,5565.738631,4455.158987,73909913,138568.9372,67421.02892,38046221.89,260705.9655,37977381.68,195422.2102,156529.5688,102502.028,79348.23231,47901.57193
530.3467a4.18,0,0,7526.703882,0,19649.92878,0,0,0,0,0,0,0,0,0,0,0,103531.7326,3665.617221,0,36983.35029,20448924.05,116227.3565,0,128889.7331,0,0,0,0,194784.5302,0,0,0,15024169.14,3492410.483,135002.7276,95225.47847,293095.6364,196702.3058,310087.9152,556092.625,355471.2995,170402.569,572018.4423,0,0,0,0,0,0,0,0,257727.9073,551535.535,298702.3808,212806.1253,539399.2662,333654.9474,237926.6101,268978.1494,237620.5915,167201.811,0,201856.2728,208171.5813,13717.84781,0,0,0,0,0,0,0,0,0,0,191420.0131,502413.7683,121522.5825,361277.9103,444235.5273,255371.0077,166265.2836,304241.0853,496181.2641,319862.4421,101228.9791,10821421.67,97445.8878,297376.9122,3821338.325
434.2875a3.94,0,137185.7335,123146.3261,64117.54139,0,0,1810100.307,0,60940.70373,1123584.686,88915.45937,29414.96603,0,0,0,28158.09047,3104182.58,346342.9188,66141.5473,141442.9174,32767.10054,0,106447.3815,174359.4995,123646.1479,338786.5311,351086.636,413258.2525,104588.1356,625505.7237,52100.18303,343249.0361,171156.98,358085.232,360638.3149,1698262.353,16543007.35,1976246.481,5024087.641,1806607.684,1021702.883,3506875.967,473532.3575,400148.0457,165274.1003,768607.3834,226827.3191,387622.6829,787231.8075,197859.267,115827.7014,430677.5625,0,1243972.098,273037.168,300241.145,477416.874,783089.1048,171965.1366,0,2782427.772,2433238.011,1720275.762,4090929.17,7485916.065,33358.97646,579365.5511,25400.63322,22111.15444,1058258.415,73837.95835,112084.8522,62896.21264,217231.7024,93468.15048,201920.5341,893476.8524,3103242.777,3480234.4,1007314.326,130079.1757,6356832.782,123769.2583,355405.0979,1174869.089,265195.401,52451.48074,277131.1006,323127.1344,343297.4638
238.141a0.67,44676.25873,101975.6107,0,96849.75763,0,104420.7913,825823.1726,0,100521.9505,416876.8362,191915.22,40401.06989,0,52970.12752,100411.9778,102033.8027,127256.2354,279673.6611,347903.8549,122168.4632,0,144266.7452,181115.4782,0,0,60230.41522,134743.8368,1003459.703,111688.5269,74410.36493,0,0,137457.977,77158.61173,103715.1956,101420.8036,10273629.35,110891.195,189637.1275,133944.6799,72041.03206,105636.0191,87606.91415,296373.1427,80391.15486,254233.3325,376870.9508,295582.5586,91337.07112,329540.8355,90250.71457,77776.67293,0,132914.3832,156257.1973,104367.0882,111793.3019,0,0,108247.4635,112189.2276,264021.4492,229520.5162,303572.1095,195745.8432,0,0,0,0,956994.5594,0,0,0,32226.02227,0,35820.47943,206878.5859,9910690.313,166517.8096,122787.1501,0,328672.7009,0,151784.6271,130962.5987,0,104266.1717,162556.2793,63664.28431,35378.61797
194.1149a0.56,0,20795.03021,0,121778.5439,23418.11021,0,0,20102.45835,30698.25674,0,28114.27648,21175.17155,0,11269.93967,0,34276.08254,8779693.041,26473.90215,20816.56562,2920866.378,14936.23217,563180.3565,27917.78677,7524691.241,96609.3426,60177.03129,58958.64541,35660.52529,13540568.54,0,34898.07084,0,0,1920036.174,3795643.356,1051830.008,845438.0423,3468407.931,4671418.907,11054970.71,3070644.036,996491.9365,5193805.044,30515.10278,89352.91412,109989.8128,83894.86588,48159.58504,0,45033.99379,92507.06214,6802100.704,19291547.53,17935704.08,11517441.62,8539231.447,19377204.98,17201170.32,26162157.47,14038822.23,4162824.434,296148.8231,11922595.3,4237956.658,166062.2095,95864.45998,94122.56996,0,8455.934567,91202.55632,32421.47648,17144.36386,35570.40488,28185.19471,15527.85754,6153430.481,6155748.759,380045.2742,5373494.733,6358137.815,7337748.655,4165565.298,7583334.206,10609875.68,8492167.103,3221883.58,67881.06896,1650264.24,4486360.407,45913.06527
444.2733a3.69,5334087.107,4491904.853,2121089.958,2635787.203,4060679.343,3734678.501,3971248.147,6048373.905,4434135.811,1691551.08,3452349.467,3844966.546,4838527.14,664000.6056,2670912.85,2213827.577,793643.9895,2844828.775,5848052.015,1025429.187,891881.0759,4741402.042,3153570.333,1986813.358,5063566.802,5490791.641,3295637.313,2354637.26,1614994.372,2478422.773,1337538.382,2636297.995,2129768.695,3865403.44,1727641.669,602558.3567,3357357.502,783997.7055,2639345.255,5015402.085,3014748.833,1811583.625,3209763.713,3633793.482,2725777.047,3707580.622,3328196.943,2884231.539,3970682.749,440633.3428,3547447.815,2165134.829,6598355.147,5144591.653,4292878.659,9283716.744,4165609.676,6593967.111,6027909.305,4886504.749,1594719.551,5298869.336,5721855.668,3871913.936,1222041.018,3216513.896,2337258.122,3273823.707,6800354.173,5852466.457,3506607.136,3760750.223,2219022.236,2274393.592,4883047.647,1862515.717,2702489.645,1983635.313,3249903.118,2569399.861,2142363.072,2936941.683,2283178.843,3460167.665,3213988.913,1761349.41,1226772.73,1888488.185,1833595.615,961013.3878
231.1463a0.58,44880.27618,75544.3049,15989.68922,64882.6492,42380.66731,17898.93415,11908.78948,39638.76668,9804.326415,38007.4917,31038.63283,46470.67351,5750.632243,36503.44119,38136.26095,23838.45598,1754439.574,28103.06536,26253.27047,193894.3227,35864.93538,141562.4749,58953.30475,1682823.115,53593.77182,23453.74286,21362.97559,16491.49758,2303688.085,17233.69846,6061.893138,36896.40709,15983.50666,1439861.462,492110.3228,436061.4437,2148275.667,1790315.429,2566002.725,10434844.71,1591321.58,1378275.414,4327462.995,122507.6473,58028.64067,81423.27408,14939.51306,0,83579.85927,7037.914014,79782.72837,1965730.1,6594936.301,10296489.32,3189778.1,2984027.199,14286676.23,2841819.48,3894116.45,1928731.187,895108.71,33841.23589,2780013.226,3975799.09,41359.56776,21894.0376,11209.54272,12991.57217,32329.67075,38085.56405,12297.012,8017.666875,12914.689,7834.58599,67423.16948,541049.9761,541915.1409,227312.4926,477775.28,683689.3943,644408.3482,626229.1712,576079.582,824866.8249,899103.0118,614458.1621,51428.16106,421529.6221,683567.9524,19824.09138
499.3066a3.02,510511.3597,1537822.032,858718.6082,1084031.367,909092.067,1162197.831,919654.9153,1245359.589,689369.848,7402607.992,1109436.07,1434503.948,756595.0607,203152.108,1165572.122,675915.0835,277564.8505,1025531.216,675825.8585,279108.7957,515128.9151,910860.3813,608327.295,441899.6983,998737.4119,1045127.463,871916.2646,1132626.425,201634.5797,820483.9526,286145.4502,1272572.175,1081378.8,990091.3342,900182.3937,356324.2781,1247942.328,588612.177,1868532.138,2576828.976,1930695.656,4092830.315,1860630.35,868742.8457,614083.5936,418229.3099,543998.1196,1036575.894,823734.1749,211912.4566,1011682.169,569505.302,535171.1229,963620.5962,1510474.686,1117092.862,3248403.439,717117.148,1742913.596,582754.9313,1452558.465,2538150.491,1021045.205,1175578.636,2029929.14,322954.1333,1113329.098,1237661.886,36514.80113,895577.7385,887131.4804,990657.4314,646709.2449,1008749.423,603537.6016,1245670.001,1251739.75,689946.5506,1024683.063,1983388.256,802997.1469,880888.0356,633923.0409,636743.2777,1140848.766,433118.976,390484.7999,804609.2868,542583.727,218808.3842
280.186a1.33,5692137.739,7154034.86,9099777.568,3299155.766,6981816.116,6231309.559,9261196.249,11104113.25,4360347.633,6202856.439,9350598.22,4690906.939,6229448.478,4738128.479,6575193.155,5261991.747,3948263.325,5320684.898,7099633.566,5888519.549,4867459.194,6021774.876,6136976.392,3660322.03,5144883.834,5083704.015,2993728.323,4693562.429,6625352.1,2961325.094,2704893.621,3494158.403,5954469.455,5674120.193,3585193.303,2917949.139,4854652.949,2127543.523,3314061.462,3706138.946,6578381.539,4541903.68,2558834.555,2829435.813,2819479.557,6078589.016,5453230.801,3968993.893,2644675.02,1597638.442,4994831.416,8100154.951,5713515.055,8446251.572,6434875.446,7203601.035,2999423.996,4426951.446,9574548.136,7938983.613,4902106.9,7077763.874,5339285.23,3045435.779,4280002.976,6553207.486,5912673.558,9519906.693,4782560.27,10521616.46,4144830.341,4601398.112,7789000.808,6438646.258,7423155.708,8652561.111,7303320.734,5313806.876,8651174.036,11335966.86,6548178.05,5958610.514,5497791.54,4995658.213,7199432.727,3731744.753,1841082.674,3421360.669,1805863.284,1924748.283
577.3851a3.95,38843.49773,286408.5482,142036.6652,843691.248,824681.8359,638539.2912,439720.9647,563920.5505,359584.4261,460883.0793,622811.6149,155057.3206,406672.9396,175821.5636,243663.065,172715.557,308121.3442,2832505.815,1146741.446,264781.9976,635901.4166,464427.1585,6122008.846,366408.0194,2962233.401,1277417.914,1097845.101,1404361.296,494749.8655,1182329.186,945973.8336,1409225.731,1210321.912,729620.3082,386144.5085,171507.3436,503193.4426,271238.9313,367830.8666,858641.8625,517917.9226,346359.2908,559759.7659,10458393.77,4282266.602,5157539.925,7445654.458,5321117.948,4868743.753,2429934.695,5278357.308,472934.9572,2433494.484,1757871.132,1056532.076,2939063.604,592522.3929,1695632.522,1836630.422,1097303.689,856556.0813,4456450.868,1371038.707,911834.4934,1655763.293,246463.2196,284123.6478,355877.5549,198657.3465,219084.8978,111168.005,190957.8166,183179.9299,154784.3784,230172.6952,390217.8298,518608.7921,355646.8746,592221.612,696870.6426,495668.9863,389380.6923,406601.4904,521292.4717,513010.4417,397523.4059,504063.9579,432965.6937,457249.9683,1230390.687
582.3411a3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181158.42,31186.7007,0,706738.1953,16714.409,869308.5722,0,5960896.727,30337.22575,12594.96687,13701.91479,23248.03789,11483748.88,13156.83943,10637.70861,0,0,4787383.27,2745772.702,1594133.019,652358.6536,2378328.663,6216195.83,12145262.47,5087446.019,3444266.634,7711048.58,79164.29837,44885.52488,43659.51119,55392.25024,35380.13097,28756.57401,25794.58741,41158.61697,8966051.893,13925812.46,12885764.23,8809264.886,14400397.42,9778135.418,6398010.297,10637053.72,7385472.35,2742937.127,44630.77633,3832495.54,1985434.798,17391.82618,0,0,7222.088227,0,0,0,0,0,0,0,2900151.554,3731212.211,180569.3863,2843087.087,4566731.637,2603357.993,1997585.086,2400507.465,2722954.791,2713345.544,3289181.275,4951.312838,1407409.823,7189569.343,12375.38089
227.1883a2.88,0,5272.03293,8245.622235,17811.77682,25493.08256,5503.093522,0,23718.38004,12617.80327,7673635.239,15229.77046,0,4411.079675,0,0,11686.76983,0,3739.933316,8109.801688,0,0,0,5166.352028,0,5506.59116,0,0,2845.736744,0,0,0,0,0,12968.19383,3964.995661,0,0,0,0,0,3584.467602,0,0,0,6036.21755,0,9302.351137,0,0,0,0,0,0,0,0,0,76190.06118,17429.67895,0,0,0,0,0,0,0,16886.41794,24020.19298,6214.501437,0,0,0,0,0,0,0,0,0,3158.665456,4159.900663,0,0,6333.087352,0,0,0,0,0,5081.059783,0,0
360.2537a3.33,1923361.626,2443534.144,1321120.142,2214310.739,2684764.982,2370108.08,4631462.35,4302379.627,2322499.086,1561851.1,1785443.23,1405434.654,1795390.113,1464719,1832827.655,1569714.131,1140524.895,2490241.595,2818699.154,1655169.011,1830812.076,2978489.334,2098607.164,1571001.224,2123217.038,3034098.522,1346692.131,888802.2509,1583430.35,1076375.58,1091094.969,1714815.305,1959033.448,1734388.24,1368317.853,1055938.996,2000655.401,1293196.47,1255487.85,2763373.768,1764252.843,2244503.765,1122062.736,1626363.638,3394557.571,2289935.14,1918641.768,1100248.33,2573870.786,946861.1095,2013104.372,1246937.046,864111.0068,1018741.699,1055430.648,1334969.796,882563.5971,921485.2208,894825.7152,1480920.284,1660311.388,2307751.647,1159417.04,1893347.093,1354554.988,1683952.711,2162250.535,2361542.033,5177629.334,2249332.139,2838455.119,1455288.929,1783221.88,2433594.633,1650529.182,1078321.522,1017561.221,1209272.423,1653439.607,2667463.557,1628779.744,874654.1672,949151.9773,1021927.963,915836.0889,1101814.164,1814951.493,853983.1923,858226.5368,574741.0224
324.212a1.44,88747.59234,0,69542.69363,143667.8263,118774.8589,43896.56039,120940.7337,135530.9436,81037.85034,0,121537.6369,31968.94712,60364.21795,51966.6827,154383.4381,71705.25133,2866172.556,184108.9547,75976.0898,826393.9994,47994.15603,474354.7239,116025.8799,4080194.821,112456.2544,54774.33526,60548.97287,98208.00637,6674392.307,54662.52576,31427.11821,70696.64398,78304.49405,2732758.142,2160504.33,1316047.467,870678.9956,1210682.911,6341544.409,10351428.67,3894596.959,1329094.909,4765956.571,69912.53924,0,80528.97518,0,23880.85098,70867.85171,31552.75963,85781.85523,5858170.621,9895960.638,7155365.364,6340248.824,10172363.84,5855598.11,6080783.056,9021406.709,5047496.115,2655717.003,0,3943988.638,1377932.519,0,0,0,0,0,0,0,0,0,0,0,3983396.309,4799162.442,685032.1919,2980392.721,5203287.44,3961670.247,2388360.096,3800235.875,4971075.103,3973090.771,2462753.91,0,1185041.369,4634401.496,0
470.2911a4.48,64436.55184,0,55098.17258,0,73071.07098,56347.92184,89163.4107,54451.64816,62467.13638,0,0,47859.42239,38533.45365,17261.60277,0,0,4639668.232,66385.50535,0,1976827.27,0,697482.0266,0,5539420.143,69103.57314,33343.11526,35859.68062,29985.72746,9698708.4,28880.00338,0,33250.86748,0,4600870.629,3271953.732,3148890.87,3093776.306,2982135,8487697.694,14718857.25,6420536.301,3482135.139,8597052.321,78937.17532,71033.78577,100181.1711,84045.41078,73741.43537,27819.44475,61752.53523,46701.85163,7047378.25,11194073.92,9773673.832,7754206.003,11603650.17,6879068.217,7205500.294,10358511.52,6597048.572,3743360.898,128233.0661,6314181.494,2951979.114,51055.9086,56353.197,67200.87299,0,0,56889.44861,0,57923.25534,0,0,0,5166355.809,6690983.768,1643860.222,5406204.449,7411500.105,5248191.779,3774242.249,5001529.812,6229316.764,5713306.237,3529368.705,8497.439363,2089174.026,5964789.727,0
222.1463a0.99,0,59665.6019,10652.14235,0,0,0,36586.2674,0,0,0,0,0,0,0,0,0,1329580.687,0,0,359449.4866,0,211784.1928,0,2010240.671,19106.55279,0,0,0,2863716.606,0,0,0,0,2227185.263,1440516.4,594375.3764,253808.5663,1090222.087,4450515.529,9947111.652,3459001.706,1193888.25,6550590.431,85126.97932,0,47032.60254,41791.09786,0,0,0,0,3437696.924,7114873.738,3390427.609,3532758.116,10680571.67,784374.5442,2619389.03,3687279.083,4056437.959,2214512.742,0,2920547.545,1157498.937,0,7650.441773,0,0,0,23376.91284,59437.46579,0,18709.60366,80551.77671,0,2099213.89,5442308.693,367349.2983,4081864.852,7046449.605,3874310.607,1644622.418,3498027.47,5563308.157,4061745.776,1528798.4,0,1028534.963,4440770.308,0
162.1253a1.62,95808.02169,85307.71529,55870.41915,280985.4253,329959.175,195570.4726,212600.5555,230364.1721,108390.8522,76671.878,259573.036,88290.8143,100272.9822,80316.35076,85940.71985,59063.95552,148792.3823,2432643.727,1057000.617,170356.9665,634074.1397,211451.071,4929913.349,191052.9498,2604984.634,1372349.095,903577.8991,1035165.923,281247.9213,979630.5509,1050821.522,1100324.786,1054544.676,300351.8384,194802.6017,63217.93175,211802.3945,132846.4567,200718.2135,227548.747,168836.9063,71999.41607,186167.7014,7468574.736,3251945.156,4293811.903,6102743.523,4176424.045,4530329.167,2197856.651,4058019.179,255128.2534,1342000.909,878867.596,413701.9223,1245528.142,326499.5032,749272.7101,658263.7703,474401.6349,248716.0536,3751018.224,651184.4028,382045.0573,998673.2509,111584.7634,160632.5234,215965.7326,164542.8048,190341.8172,66618.52219,96020.39398,80786.43445,73790.77446,130471.7293,156882.7741,314566.6513,142164.9986,204755.0768,236543.6662,132902.395,193353.2248,170420.2249,235112.5504,212381.8488,188623.0905,487084.1051,220637.3036,273403.6599,1098133.101
396.2694a2.03,4614462.312,3112909.691,3853141.806,4098449.833,5836904.134,5092532.535,8341315.273,7892763.611,1266916.137,874575.4322,1413139.146,1331024.397,1506941.627,898976.8094,1666251.22,1996318.27,773019.371,1377040.551,1755954.094,1379233.951,785259.206,1258393.94,1426204.577,685062.3555,2180185.992,1441895.005,830079.9706,660920.0026,997597.9963,1199099.753,589792.9511,1410000.91,755252.9053,916362.461,762728.8013,797440.9447,605350.2962,589233.5523,1149206.217,1091033.326,1211244.117,843189.9422,1016086.483,1390314.096,1263144.868,1283640.297,1513333.548,1690315.5,1601042.526,867816.08,1430643.112,1183280.108,1008113.211,951203.4392,993718.6139,1981750.145,724833.7949,1139691.917,1611615.132,1313787.943,1003380.294,4954856.769,2166942.733,880792.1074,967563.5769,2199908.323,3082914.219,5158089.721,3777555.033,3174728.527,1731424.407,2540033.042,2373539.958,2300869.422,3020538.527,1039119.687,2759229.496,2592100.69,1888905.93,1610033.346,1738037.594,1230926.079,1883574.376,1375777.906,1624594.211,1459104.085,1742269.889,1352094.877,1477449.275,921896.4681
512.3361a5.06,1802474.603,578190.6241,1303444.201,1053083.844,819375.7221,2519351.323,717776.5969,817437.9857,3020509.886,6156425.761,1364577.493,2726076.788,656020.427,328037.8717,2230223.226,560981.982,1671457.474,1122201.978,726174.2106,361331.3765,138480.2421,822466.1102,1081844.901,351138.2927,583187.5599,963594.4349,700336.4401,2026297.242,1379143.312,997641.4152,139800.6313,1169676.422,1225826.013,643901.0885,409833.1309,3900720.029,2183999.067,1162256.013,2165723.876,3460205.236,1785845.424,2479409.487,2143144.325,1366722.04,768650.887,1056423.922,1635406.434,1198609.355,1815247.112,1730575.116,1468200.021,884025.351,583490.9854,1246562.892,1173974.984,1927571.522,276510.3401,860629.2212,2823408.182,1157506.585,1711317.763,4723844.755,1999790.261,1976420.028,3226354.222,1191732.455,2530887.423,2619431.773,942693.9145,1723404.157,1333768.275,1367342.918,1225114.357,1713186.947,1843115.352,1448332.46,855862.7937,1113038.284,1718454.263,2888017.551,2030469.637,726146.7415,416284.3463,1060723.082,432358.6094,405742.2954,334998.0753,310620.5279,201643.3953,280099.5371
416.2436a3.33,44658.44061,64394.1165,116256.8606,697370.6573,778797.0565,504993.7448,304048.377,392983.5348,279277.108,414350.5132,521420.8283,167789.9732,144605.6624,93725.66615,209627.4964,146113.148,394756.4372,1791958.887,708924.7911,264603.9426,442546.9698,455245.3215,4034186.736,458103.4602,1863100.95,858162.3931,670847.0331,832334.8586,581082.8461,730561.9544,617912.0818,748786.7122,754699.6058,908069.3467,397549.3225,196550.3987,557275.9274,349102.2703,572999.5849,1112071.657,628253.001,447246.2721,712427.5569,6417897.217,2654081.565,3169548.382,4465720.799,3177036.127,2520677.078,1189626.529,3235568.935,768689.3127,5793279.23,4108950.752,2614655.008,6329623.881,1051157.669,3921826.877,3970079.878,2446064.505,1224332.448,2799119.909,2891163.25,2257049.308,461816.3688,156019.4444,236609.5063,301875.1012,182708.0887,212360.7307,77333.21046,139187.494,140198.9278,133159.7943,114290.6904,431327.1167,651637.0588,315528.3291,618610.8723,864365.6864,584919.0366,407292.6313,448972.6478,652746.4463,542422.7494,517531.5708,327451.4165,534486.7024,642939.2989,743580.8387
440.2976a2.1,10815.59776,0,11931.34449,21655.73204,30044.57099,5987.267774,0,0,0,0,31148.44068,0,25561.52364,15930.4705,0,0,579042.701,28280.65187,24374.66065,103045.5452,30383.86014,96363.29472,29782.85812,881757.0852,12773.49719,40268.46647,33138.42043,7157.481055,1109067.62,29717.73967,7119.722989,0,5800.633273,1017376.505,347635.8318,199338.015,1328362.677,696514.6389,1149661.555,5672840.266,1146195.703,1065054.907,3085303.577,12702.06663,17344.18242,0,31061.05171,0,16498.85801,7169.750057,0,1292292.264,4836171.356,4657099.667,2373608.648,1992058.396,7001287.953,2061911.166,3023074.176,1474199.452,436168.3914,0,2305137.407,2420100.739,10254.29286,5250.692568,7777.31946,12621.07411,61255.02682,22445.74363,18958.25823,20448.46116,6975.132279,19864.51833,8602.730068,368275.0816,541619.5375,98153.3369,400692.7062,702424.9384,504411.3834,307033.6311,383934.7159,621358.5293,678591.0228,415302.6854,9283.97064,254725.8189,630388.8111,15174.40429
186.0918a1.15,112802.0519,103916.3411,211493.6287,393074.5567,342672.0895,704878.5121,210516.2469,301582.3326,408158.1986,4982809.5,284025.5098,630907.8341,182291.9247,129995.4928,607528.5597,114389.8477,190383.5285,267686.5716,192522.3073,136574.8179,80224.17767,207751.0077,290990.2762,148486.9835,335955.0741,250121.8953,130465.1164,352764.0521,196012.9514,269244.1565,61712.24226,243829.0864,239752.5999,228437.2355,120688.8168,326359.6769,356538.7658,552597.8311,875853.0815,1076130.104,300738.8333,2321599.024,1027056.957,327533.1628,270905.4437,366897.9853,351875.535,381726.5406,234996.7849,225207.2559,193359.6613,190370.834,346940.8261,227402.4583,405297.7923,604925.4135,450120.1491,397974.5115,1137465.49,309371.7221,505011.711,871001.2638,507341.21,481499.9941,2036926.635,183327.8118,259033.0666,442779.8163,145897.9567,432520.1362,248880.6689,261852.9687,223680.4746,311425.3967,192627.3069,319274.8609,396100.1323,236677.728,347219.4086,815479.6137,354501.9905,363969.5513,172231.2655,291932.9039,6012962.581,109120.8363,92237.1136,127976.4915,93383.01903,72911.47851
352.2399a1.96,110534.6964,31040.30327,28446.89043,33807.88751,27210.02822,49119.60034,43375.68353,22024.06245,39908.0871,137146.0513,78050.26186,30288.24043,43133.40932,41248.63769,33500.81142,0,2219096.82,59091.91153,83482.48362,1137153.019,46253.74846,2354687.061,0,6482843.631,0,0,50699.99797,0,11673036.37,28899.5723,15842.69356,67958.88995,55325.44349,4586481.728,3651867.27,922179.6027,143952.7413,2497021.82,4839730.289,7437836.378,2899860.023,2855206.842,7512212.169,0,55726.07885,49598.22882,62370.25435,0,0,0,34336.97133,4518326.838,6516051.284,4751334.715,4161599.874,4880363.512,11224896.47,3592955.684,15760314.32,3393587.998,563331.2259,46274.27451,973814.5532,1326946.826,58714.7348,23573.306,0,16498.18411,37617.416,101872.2478,9849.460198,36786.53637,51155.58628,30302.58513,28913.56104,1784338.355,3659737.667,693125.6541,1841039.036,5325725.79,6109153.712,809159.7369,4085798.398,3285192.648,1065782.109,4066069.595,50426.60311,1397711.514,6748645.051,16447.74912
314.2115a2.89,0,0,0,0,0,23340.79147,32830.83442,37703.73201,11839.56996,0,15942.94353,46962.75671,24180.71176,15785.44137,14907.5773,0,50346.63386,276813.9391,42859.05488,26909.98315,0,22103.03322,0,38893.95136,0,0,119141.5965,113125.4671,55646.901,75076.64018,0,139754.2727,0,0,39193.56749,25062.65165,47750.78887,23173.33683,78382.55881,436705.0295,109337.2221,56293.96452,97547.32368,15370.06142,0,0,0,0,0,0,0,74859.15394,82701.21761,0,53466.48933,131203.9614,0,139234.7705,50198.49695,65677.74666,372518.0476,0,181974.9119,191129.7922,55304.70219,0,27407.66756,24672.23194,51422.39088,0,29782.02584,0,5654.119471,0,0,7165536.631,3552808.401,216844.2625,52506.91802,230477.3022,48780.77982,416391.5929,169179.9564,3149623.157,2410616.022,93901.99626,22419.76837,92746.25078,56400.13432,0
