ID,[Area] Sample127,[Area] Sample128,[Area] Sample129,[Area] Sample130,[Area] Sample131,[Area] Sample132,[Area] Sample133,[Area] Sample134,[Area] Sample137,[Area] Sample138,[Area] Sample139,[Area] Sample140,[Area] Sample141,[Area] Sample142,[Area] Sample143,[Area] Sample144,[Area] Sample145,[Area] Sample148,[Area] Sample149,[Area] Sample150,[Area] Sample151,[Area] Sample152,[Area] Sample153,[Area] Sample154,[Area] Sample155,[Area] Sample158,[Area] Sample159,[Area] Sample160,[Area] Sample161,[Area] Sample162,[Area] Sample163,[Area] Sample164,[Area] Sample165,[Area] Sample168,[Area] Sample169,[Area] Sample170,[Area] Sample171,[Area] Sample172,[Area] Sample173,[Area] Sample174,[Area] Sample175,[Area] Sample178,[Area] Sample179,[Area] Sample180,[Area] Sample181,[Area] Sample182,[Area] Sample183,[Area] Sample184,[Area] Sample185,[Area] Sample186,[Area] Sample189,[Area] Sample190,[Area] Sample191,[Area] Sample192,[Area] Sample193,[Area] Sample194,[Area] Sample195,[Area] Sample196,[Area] Sample197,[Area] Sample200,[Area] Sample201,[Area] Sample202,[Area] Sample203,[Area] Sample204,[Area] Sample205,[Area] Sample206,[Area] Sample207,[Area] Sample218,[Area] Sample219,[Area] Sample220,[Area] Sample221,[Area] Sample222,[Area] Sample223,[Area] Sample224,[Area] Sample225,[Area] Sample226,[Area] Sample229,[Area] Sample230,[Area] Sample231,[Area] Sample232,[Area] Sample233,[Area] Sample234,[Area] Sample235,[Area] Sample236,[Area] Sample239,[Area] Sample240,[Area] Sample241,[Area] Sample242,[Area] Sample243,[Area] Sample244
name,y60,y48, y33,w36,g13,r110,b18,PW,y60,r110,y60,b18,g13,w36,w36,b18,08A529,04LO73,03LO50,04LO60,12LO75,13LO82,08LO29,12LO38,08LO24,10LO33,04LO73,03LO50,04LO60,2LO75,13LO82,08LO29,12LO38,08LO24,10LO33,17RB16,17RB16,17RB35,17RB35,17RB61,17RB61,17RB68,17RB68,13CLM14,13CLM1,13CLM2,13CLM7,13CLM8,13CLM9,13CLM10,13CLM11,R6,R7,E14,E15,E16,R2,E20,E11,E13,E16,E14,R5,295,39,17-2,17-4,17-3,gigi,46,47,48,49,50,MT-5,3728,3730,830,10206,10207,10208,10211,10216,10217,10428,04LO49,05LO53,11LO40,11LO44,13LO02
class,Chronic,Chronic,Chronic,Negative,Negative,Chronic,Negative,Negative,Chronic,Chronic,Chronic,Negative,Negative,Negative,Negative,Negative,Sample,Sample,Sample,Chronic,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Chronic,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Negative,Chronic,Negative,Negative,Negative,Negative,Negative,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Negative,Negative,Negative,Negative,Sample
421.33a1.99,333168.52,420068.5267,262385.6226,236893.7856,287021.6872,315762.4441,292314.8122,451024.2435,403239.6933,364320.8376,408558.0112,283628.783,267744.5595,117462.6238,310193.7822,218278.2067,96207.86036,392864.7938,490248.7757,391014.4716,139969.1064,211392.1272,300096.4175,114929.7284,571505.5939,441964.3153,454483.3183,295869.618,145842.1312,334432.8993,154406.027,447366.2838,310586.6496,183407.7745,138013.7901,119836.0086,110326.1747,119087.9656,189146.0065,196425.2634,188939.8511,195735.1603,148285.2456,208817.2086,283139.0792,265488.6079,226067.1501,174775.5528,219956.2273,158228.5535,214751.5259,132930.5275,167172.3056,130711.5633,156760.6825,175517.1204,0,0,164589.2804,174172.45,144696.3482,442864.9613,197119.8033,164915.8103,165469.7979,283316.5677,254145.6164,203080.167,453082.4172,423715.9684,252697.7724,270880.7957,227827.3931,204694.7553,283237.9142,130202.4814,159877.6455,67888.56175,217679.8566,205641.4683,114939.1345,76874.26049,133271.0101,120147.5939,159432.1188,128679.0752,313571.5747,136951.1149,111745.0417,197323.6903
610.9095a4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62261.16917,0,0,12123.841,0,0,0,5293.945716,0,0,0,0,61429.21378,0,0,0,0,3676.22071,0,13724.61879,0,36591.60437,3915.549645,91069.65131,4645.226029,4989.606506,28319.70879,0,0,0,0,0,0,0,0,9112.389485,29680.66465,59605.13173,4888.399402,16015.6026,8054.203562,5318.618298,7591.453014,6139.195997,0,0,12387.18455,3558.989832,0,0,0,0,0,0,0,0,0,0,0,5350.979953,6472.114296,5218.951315,5196.371279,7069.296536,7499.322842,5443.034987,8563.541279,12822.20192,9946.970456,0,0,0,6147.703784,0
466.2902a3.98,0,0,13040.43638,26102.39801,22323.26065,10318.70859,0,0,9324.666153,11800.68763,9327.887645,9177.17831,0,10836.42014,7693.232187,19113.50983,21001.6129,12805.53167,47713.47114,24754.38108,32515.55726,9458.694283,9571.539209,16071.62377,52188.23856,32445.29468,12195.24946,20306.59739,33685.52334,7359.778869,9401.235889,18737.66439,35114.69267,22360.37609,33662.84388,12562.12048,21941.6394,23562.16375,15514.5939,20929.02368,12848.23391,19301.69091,19214.30695,33570.04795,32953.8762,38755.63794,25528.94035,12709.97202,8989.589845,0,28694.90689,26331.50261,51860.49225,57485.66176,32479.56206,16006.44152,0,84555.8155,39135.26832,21469.84363,45680.93733,31509.17731,23517.37217,15851.85801,19867.78407,0,0,0,0,89721.39206,24737.44314,29509.24482,28574.49954,26311.65427,26252.67462,20613.08559,6378.632879,12722.34759,21003.64334,20318.39654,38218.33441,30258.27856,24250.94466,24357.3033,29572.94644,16594.92456,8405.729194,7029.875826,15600.71127,4185.561651
563.369a3.52,65055.73144,70284.6031,49392.05348,60492.90591,71501.48989,59676.72188,77538.00931,76687.5003,62433.569,43801.20088,80582.77758,61850.00603,66068.08963,54091.16353,61826.98194,60178.56257,47580.40334,67132.52687,69654.38675,64445.49337,50604.76739,58975.06156,58390.47772,41867.70699,88154.39395,78800.74206,48787.7207,45512.21214,74802.12203,62697.89841,27641.37456,51067.10677,59475.18968,57275.98739,42501.31368,47013.64318,58486.43375,52568.65216,60189.61087,75300.54822,66436.07222,60807.70146,60131.34334,49940.43216,48956.36408,64565.87408,59199.71265,46710.29427,58585.66759,48400.47376,55813.31944,53566.861,64001.57217,69356.08278,62083.79896,76106.17615,58590.86781,56934.58962,78929.55166,62652.17158,54391.08975,88067.88044,65692.85319,53641.81704,51273.66386,55877.37781,62036.87606,68665.99013,24152.00191,73476.36474,45472.61724,50918.04788,48573.57173,52159.75215,66362.62764,51994.44843,54606.62211,43504.00726,55130.07357,68082.79619,43886.21687,38967.368,44517.60007,47159.45116,43001.35655,38666.27737,32949.8574,31887.96022,33863.38687,22061.36408
630.7665a4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,11838.29708,0,0,95890.71729,0,0,21419.63815,0,0,0,13494.28253,0,0,0,0,109209.5612,0,0,0,0,0,0,25749.23253,0,34853.09938,0,184808.7444,0,0,44897.84836,0,0,0,0,0,0,11437.77549,0,14167.14268,40717.68679,81284.05496,0,54986.83441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10553.27864,0,12301.2969,10024.33834,33457.79795,14486.36312,15944.89576,24327.28741,0,0,0,28150.12512,0
1038.6967a4.17,0,42716.93612,179465.6473,213520.3279,273072.4928,0,319428.1297,0,147777.7615,184319.6909,112968.0014,246474.7691,164367.9595,142123.0643,0,230217.8706,176962.3916,0,227719.088,223384.2092,113212.6061,193006.126,0,108224.3661,0,268220.2597,0,0,302891.4231,0,84402.36251,0,220590.7751,249861.7876,160339.3877,124875.1343,278416.0925,134735.2583,233424.7272,368427.9744,324470.0865,201287.5572,211709.3081,291501.9142,334424.0506,0,283524.8433,197089.1246,174055.6523,0,269837.1713,208841.9778,383044.9381,368438.4997,217409.4186,200716.1962,0,480229.382,314086.7833,267161.3034,269691.2712,184133.3648,333945.9349,193115.3258,116554.0495,0,0,0,0,0,0,0,167853.2577,0,137414.9171,269298.1174,226123.1251,173818.9009,280045.9495,401924.7061,328005.4106,217511.8724,230746.8362,293973.9088,297108.5718,201021.1998,88502.90351,135041.9668,231936.195,0
583.0631a3.63,0,134314.477,23778.98394,0,34088.69012,22914.58749,54077.36955,56406.31211,0,43989.15628,20045.13352,34254.36167,0,0,0,18595.80083,120585.2239,39011.12377,42455.77729,39828.44196,0,102211.2345,0,145500.9209,0,0,0,45533.23797,249963.3503,34226.04686,16218.13239,36821.38975,17709.1883,74468.31963,294180.565,97344.0109,44528.72212,7374.252131,38379.00637,116537.0475,24498.46842,85765.39186,176983.447,34068.45685,25584.4113,55045.48488,0,29687.84644,0,0,31856.66273,131997.9162,207038.3923,264729.341,191039.2726,78887.0727,204123.1031,53894.67303,136288.308,70478.46809,171968.9059,110946.1793,52711.38374,53840.91058,36313.8046,0,0,59371.002,93836.84324,22082.61949,26074.00169,19855.24119,0,0,31147.02,61431.40517,90685.39589,144392.0852,18376.1071,133548.0019,178568.4529,12304.31735,52900.03729,88494.53565,78143.34378,78026.05768,33500.11841,38057.34629,120278.6861,38926.85853
1004.607a2.02,0,0,26769.41427,68610.24776,54948.19525,34200.82811,34019.5501,32512.30159,0,18820.22038,62806.62094,20064.51899,17910.21209,15094.00517,54499.12286,24517.09755,8570.430213,0,24951.92084,22433.98342,16256.64555,16927.58865,37380.58814,6821.307027,41841.12132,0,0,0,18555.56515,17741.55861,10881.53757,0,29226.64889,30065.16577,36651.1791,14209.63464,18646.61696,7174.604461,11055.14337,18608.93477,13423.88359,6929.082271,48808.93801,23296.93611,49916.52743,85676.34122,55132.51894,47351.36454,10702.35873,0,10813.0934,19041.59103,168828.3923,84776.81447,70691.57617,103951.786,116701.8476,159981.1715,141384.839,39018.53484,23264.03929,61808.34793,33786.12788,24942.25268,22522.63853,24005.43561,19957.90839,0,0,45892.73306,22083.85258,19193.04215,21990.97793,19687.46554,0,20501.17509,18977.56975,24642.99675,11715.71012,0,76722.81043,7380.722759,22041.08288,17898.49148,6250.87826,32817.31124,14362.74507,12486.76417,21948.18321,14001.60376
2936.0112a1.66,0,16321.67518,9346.613628,15004.98635,15721.52546,19753.98289,28756.31944,8844.544452,24297.48647,26471.33388,11732.10156,20366.00658,10936.47025,30759.50352,15969.11032,12665.13767,33564.88121,13392.33927,27353.48414,34642.11641,19618.10983,11970.95063,8940.859765,12847.19434,13787.5473,33142.92554,7023.884032,9702.330985,39189.54922,12213.8037,44941.67844,25386.92858,31579.52344,10658.53483,9127.168169,27582.21451,9517.713947,38529.00928,9492.322889,42133.45744,15306.18178,10647.36197,14502.24075,65957.51386,13369.78192,11202.4589,8284.93233,8319.492771,11223.52984,31371.65153,6541.893613,18573.73103,28881.51171,13430.25567,9014.20503,10924.07825,10309.34758,24297.91327,17057.70931,8797.468753,8982.007756,18096.07097,12702.1368,25129.77101,11571.82213,27187.62539,14145.0557,10706.65921,3616.409578,46909.90536,23138.28618,8676.800181,17661.71813,11055.33721,16928.5353,35200.41235,15196.20434,54171.34332,24601.06376,19239.13081,18851.84078,29880.07926,30146.96048,15391.30413,14647.5804,6131.099875,10728.53533,0,9968.538203,6824.362859
206.1339a2.37,55395.63865,39254.73386,55494.42147,85635.15221,67441.54638,56901.49712,93640.2935,112319.8257,65825.64157,5690.555219,68284.2987,53106.86589,43012.38198,25325.22265,92772.84213,66915.59156,32121.57068,77237.58541,56337.17519,26571.86806,13638.48034,57430.01944,35972.2157,45018.94227,80392.69671,56197.50222,51641.94392,34131.44025,37977.42929,45041.13847,22638.54899,52409.08362,49705.93921,70561.77953,44207.7053,18511.08834,22504.6857,13869.90497,68276.55828,69629.45793,73747.96678,26537.19103,33396.15708,33198.51951,35198.71559,64498.73452,37609.75471,33009.87523,43784.08198,12507.11228,49972.79844,52837.09267,59335.55017,9295.503148,34457.97295,88208.97995,86186.90434,46677.13664,58747.91109,54370.52691,39072.46536,74324.31536,41588.69498,37173.38643,14437.10001,55616.03471,82018.05377,119516.5863,28079.41435,77659.72472,63419.53494,65308.6141,86067.40819,86711.60426,91190.54408,56916.85261,39138.39527,42685.16725,47387.64683,64493.01843,73828.55832,37752.22766,62197.14807,32294.78749,63741.98247,38878.6361,24690.24271,24811.80509,34763.41758,21832.05823
