ID,[Area] Sample003,[Area] Sample004,[Area] Sample005,[Area] Sample006,[Area] Sample007,[Area] Sample008,[Area] Sample009,[Area] Sample010,[Area] Sample011,[Area] Sample012,[Area] Sample013,[Area] Sample014,[Area] Sample025,[Area] Sample026,[Area] Sample027,[Area] Sample028,[Area] Sample029,[Area] Sample030,[Area] Sample031,[Area] Sample032,[Area] Sample033,[Area] Sample036,[Area] Sample037,[Area] Sample038,[Area] Sample039,[Area] Sample040,[Area] Sample041,[Area] Sample042,[Area] Sample043,[Area] Sample044,[Area] Sample047,[Area] Sample048,[Area] Sample049,[Area] Sample050,[Area] Sample051,[Area] Sample052,[Area] Sample053,[Area] Sample054,[Area] Sample055,[Area] Sample058,[Area] Sample059,[Area] Sample060,[Area] Sample061,[Area] Sample062,[Area] Sample063,[Area] Sample064,[Area] Sample065,[Area] Sample066,[Area] Sample069,[Area] Sample070,[Area] Sample071,[Area] Sample072,[Area] Sample073,[Area] Sample074,[Area] Sample075,[Area] Sample076,[Area] Sample077,[Area] Sample080,[Area] Sample081,[Area] Sample082,[Area] Sample083,[Area] Sample084,[Area] Sample085,[Area] Sample086,[Area] Sample087,[Area] Sample088,[Area] Sample091,[Area] Sample092,[Area] Sample093,[Area] Sample094,[Area] Sample095,[Area] Sample096,[Area] Sample097,[Area] Sample098,[Area] Sample099,[Area] Sample102,[Area] Sample103,[Area] Sample104,[Area] Sample105,[Area] Sample106,[Area] Sample107,[Area] Sample108,[Area] Sample109,[Area] Sample112,[Area] Sample113,[Area] Sample114,[Area] Sample115,[Area] Sample116
name,Badlands,Badlands,Badlands,Badlands,Badlands,Badlands,Badlands,Badlands,Badlands,Badlands,11AS14,11AS10,11AS13,11AS12,11AS07,11AS09,08AS37,08AS26,11AS14,11AS10,11AS13,11AS12,11AS07,11AS15,11AS04,11AS03,15LO25,13LO12,11LO44,11LO40,05LO53,04LO49,16TU44,15LM54,15LM53,16BR81,11LK36,11LK32,11LK33,11LK30,11LK26,17TU493,99L09,99L09,14LO83,05L068,01LO34,17LO74,04LO58,04LO12,02LO43,01LO32,00L13,14LO83,05LO68,12LO46,04LO74,04LO58,04LO12,02LO43,01LO32,OOL13,15BB68,14BB17,14BB03,11BB35,06BB12,g13,y34,y33,g13,w36,y60,y48,p9,r110,w36,y60,r110,y33,y33,y48,r110,y33,b18,p9,g13,b18
class,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Negative,Sample,Negative,Negative,Negative,Negative,Sample,Sample,Sample,Sample,Negative,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Chronic,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Negative,Chronic,Chronic,Negative,Negative,Chronic,Chronic,Sample,Chronic,Negative,Chronic,Chronic,Chronic,Chronic,Chronic,Chronic,Chronic,Negative,Negative,Negative,Sample
year,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2014,2014,2014,2013,2014,2014,2014,2014,2011,2011,2011,2014,2011,2011,2011,2015,2016,2016,2016,2017,2013,2016,2016,2016,2016,2011,2011,2011,2011,2011,2017,2012,2014,2017,2017,2012,2017,2017,2014,2013,2014,2013,2014,2014,2017,2013,2013,2013,2015,2012,2013,2015,2014,2014,2015,2014,2016,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
herd,100,100,100,100,100,100,100,100,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,7,20,10,10,7,7,20,20,10,7,20,20,20,7,20,20,20,20,10,20
month,11,11,11,11,11,11,11,11,11,11,1,2,2,11,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,3,2,8,8,8,8,11,11,11,11,11,10,12,2,12,12,12,12,12,1,12,3,1,3,1,1,2,1,1,1,12,2,2,10,2,2,10,2,2,7,3,3,3,3,7,7,9,10,10,10,10,11,11,11,11,11,11,7
588.3877a4.3,260632.39,15057.43,237786.8,88838.08,361601.7,182544.51,499645.78,123328.3,514326.98,188554.11,6432022.54,383426.49,14957086.4,4895531.72,9894805.58,6789101.31,4845305.88,13995688.44,7094597.21,12180925.94,8864734.49,3337140.67,3896713.86,11285750.71,3162063.95,1419286.59,3220776.17,750026.13,287888.11,1015882.71,137024.28,14531061.68,10803345.3,5489375.24,10720103.88,11326876.07,8445893.73,1160885.82,4434457.66,3498841.99,8594578.37,3816438.09,12017.94,9309082.68,10314907.7,7105831.3,32270.9,4216250.44,6706533.85,6797285.52,6592790.5,14640462.85,17953.07,3759272.89,20651.11,4034660.58,21610512.09,40191.86,680627.42,2892360,9071.21,8589.3,3594235.44,1947624.67,5567984.77,4214580.35,1089317.57,12452.08,4989536.18,16244.01,4345.21,10595.14,8274.5,9363.03,19085.9,6535.56,6527.08,5678.44,8219.66,5918.96,6143.18,4373.32,7357.32,8942.58,82329.5,14612.28,21998.79,24794.94
414.2477a1.18,135100.01,169383.27,5022725.83,166835.51,106315.36,79311.32,113491.85,232198.58,916315.71,68397.97,83145.92,11093.96,46041.79,72916.86,76891.85,83626.85,72886.3,65004.64,62713.59,83204.72,70090.56,81265.95,59811.67,91404.36,43067.02,22247.42,15715.6,5491,34071.63,13275.99,1795.01,57138.6,86687.75,29166.47,54744.36,65328.56,24208.52,9072.06,16781.12,9088.9,28808.85,37215.53,47116.15,40680.58,39118.93,28232.48,85146.83,31573.87,35072.64,51987.75,41096.49,64939.74,49939.52,14905.64,41764.66,19950.9,59938.91,99605.68,15192.06,39105.14,37562.17,37273.22,40762.04,58023.2,33089.69,37678.89,34401.97,51929.41,37102.85,45959.1,74785.24,66029.85,106460.64,52273.35,34796.31,53913.1,61223.65,45464.47,62287.94,55684.87,56262.01,48359.15,58501.46,97590.07,101996.75,529777.85,268287.89,454089.91
238.141a0.67,284069.49,306844.11,2359920.37,286800.18,196744.12,172359.12,195241.09,436907.11,759117.88,162147.29,207126.58,15247.6,169682.07,64573.46,161868.04,158241.15,112616.29,177436.05,133581.76,165133.98,121834.1,104139.64,86577.66,170902.93,86158.37,50842.98,42653.89,13376.55,89013.05,35117.58,5141.89,112492.75,174313.69,89285.37,115961.93,185100.93,66176.47,28179.67,45856.65,36253.21,85799.42,96034.81,102431.78,109315.04,81342.94,79551.92,233432.34,76485.83,108532.88,204616.61,82073.2,109335.36,111767.09,40789.99,111280.99,46173.08,166503.08,340365.74,48901.9,94634.92,83351.64,136731.16,125463.09,94970.12,110949.74,114220.12,78066.78,154997.25,127013,64820.8,199964.34,188979.17,163229.86,177891.71,95190.88,126755.13,137257.71,153301.13,140810.43,124823.57,131950.37,117477.66,142739.93,268209.59,277459.77,1916984.3,1305189.95,1730931.4
398.245a4.22,174942.06,135087.69,119305.55,251137.28,147795.42,160661.4,153131.4,160608.64,139304.95,122256.88,152389.99,14775.22,168213.02,81672.93,159671.55,363897.03,116975.67,153185.04,213826.51,167133.31,141173.84,100038.53,142808.89,286096.03,111620.15,61242.02,65028.11,23665.29,147042.74,43575.58,7052.42,106410.88,289011.01,111801.51,201674.07,258547.87,74862.41,39561.72,47166.58,61321.91,176348.91,202197.25,161990.62,157283.84,141073.31,134979.68,315696.56,83689.3,100649.76,240629.04,102147.95,2004927.15,142366.88,55844.23,151522.69,105451.6,184108.86,418956.92,70229.2,108716.55,121249.04,158104.46,160913.76,126746.36,132468.16,177893.68,130590.16,208571.69,193835.5,172407.61,274946.1,241069.85,218939.38,205914.66,172764.54,174904.99,245382.28,258202.03,201367.34,182513.67,220420.75,154338.2,201879.85,242330.58,253102.59,483550.31,392917.33,545576.19
194.1149a0.56,180266.54,187685.15,868753.51,157455.41,137759.87,89376.62,160169.38,268828.28,338993.73,158392.11,106434.31,9375.21,188529.73,46173.21,68070.42,173992.09,108985.08,174761.77,123153.93,269478.17,83093.87,48839.14,83334.47,166079.72,57140.55,46707.42,28407.01,9246.76,96555.58,21419.63,3780.97,35049.2,128064.62,88119.92,133617.84,185597,36463.24,24627.9,32664.41,29503.62,51822.26,110722.7,109956.92,85551.64,123626.88,87795.66,103559.78,34496.34,83425.92,147095.54,46928.2,87130.49,49460.28,36047.44,94468.81,40628.63,113781.74,239750.73,45591.65,58024.74,48474.96,124706.78,116030.45,82226.08,79576.82,62085.93,72640.89,149223.87,56384.99,83825.49,107245.8,188128.4,149324.12,175923.49,93745.1,118697.46,172323.7,153785.9,161090.06,119932.59,144633.36,58653.7,153953.69,162058.19,238351.67,906073.32,712775.66,2261952.55
162.1253a1.62,185100.83,54465.13,59423.21,74400.66,68984.44,109634.42,105414.87,47882.22,49931.66,55977.51,221162,24276.15,277504.86,191867.63,264846.87,191127.29,121561.64,207017.73,283739.52,161484,255429.07,154020.89,281918.74,626346.43,342629.52,117162.46,108572.95,46503.71,292805.94,87265.27,18279.52,237229.48,378031.55,314565.06,567124.17,655068.62,286744.39,107768.87,112650.78,99124.58,193378.16,380379.44,529652.6,380424.8,518818.75,434506.17,1176600.83,351226.31,565870.2,765385,261374.95,617354.02,595936.26,196751.87,572801.91,221292.58,675306.34,2136255.52,273428.36,618751.45,639961,885927.36,695273.04,530148,493579.03,834882.38,451860,1040048.4,723702.04,1033145.75,1461835.02,1674891.19,1614454.86,1339196.19,796000.7,987120.27,1251460.4,1171620.26,1316098.67,1266613.41,1733913.7,1275555.55,1761111.48,1858492.06,2248348.93,1563602.64,2300982.63,1557182.35
117.0774a0.41,2169326.77,1862652.4,326150.73,2321822.03,374394.58,382182.41,317834.71,2066940.11,381931.12,332407.16,2203128.08,59680.46,381708.15,608383.08,711245.27,416933.7,282416.65,389990.82,545968.52,569505.24,621386.93,526904.24,1118253.69,2153198.66,1311489.42,592023.09,685252.49,124317.97,330994.09,297551.51,48583.02,589603.7,733802.28,638628.68,1360775.46,1443019.59,312049.45,18608.19,196808.2,173894.38,401506.92,1057223.53,280806.34,665702.63,1380887.61,1143814.48,1170915.93,416026.84,667846.76,931790.75,610541.6,705679.16,600704.48,331204.87,836608.68,443699.61,1358604.13,1780903.28,228158.06,668948.65,318672.46,773528.99,383539.67,366778.62,290225.32,573475.68,402088.26,1062790.07,616785.02,1473474.94,1204975.83,703691.06,1114113.6,1235299.25,776278.13,461265.83,808090.31,626522,801375.41,913343.68,1696331.04,843815.57,707138.07,1306249.57,788044.81,660844.58,989214.47,294588.71
117.0786a0.48,1767775.94,2090432.63,1499810.5,2372125.55,1778470.37,1525324.59,1499592.89,1844332.37,1904122.88,1325649.42,2020161.08,129420.57,1029215.21,1337638.86,1681078.1,883087.87,1002897.15,1414291.31,1247858.7,1616989.2,1096646.22,1377621.44,676131.94,1798894.84,878949.97,493705.16,678120.59,145068.77,1030187.32,333420.24,47719.38,654512.79,953014.26,969484.74,1793729.69,1869007.06,755469.56,215189.04,332477.22,351494.54,848557.71,1449419.02,624864.54,670272.45,1432788,1063463.94,1377439.45,251944.03,872613.65,1296920.18,772136.23,1083491.52,791989.78,548372.27,1119532.27,585830.08,1611618.8,2173793.85,269733.9,742844.57,558175.15,997652.23,616595.59,1078275.33,615368.46,799455.47,1396801.75,1386677.16,961807.72,2016254.78,1379734.95,759629.78,2114420.82,1968307.4,953393.04,426620.97,1117519.74,1382485.57,1225886.17,2805421.32,2616731.38,1469433.92,1749827.99,2637075.57,1347468.04,630891.66,1399696.74,203580.99
186.0918a1.15,312076.07,121933.25,167588.25,144790.52,187406.74,470402.81,185200.64,143266.99,112594.2,807646.16,179812,14900.44,2368909.78,163214.86,554063.52,488042.82,127427.7,752708.73,349999.45,1801397.67,349871.28,64387.97,210080.93,234098.56,119544.19,68872.96,22654.4,17650.99,13098,38866.17,9274.88,133810.14,118747.32,62963.06,641077.25,144249.95,95608.84,473203.4,77513.88,193514.7,582776.9,557677.59,20623.16,105338.29,1328755.97,587082.8,84619.28,744078.8,783712.78,445499.63,366685.68,370749.58,27143.69,17384.22,25125.89,355254.64,129574.03,99972.9,44927.74,117709.53,11476.05,24197.69,3355316.76,234388.15,3156800.18,1345184.71,176901.74,67927.33,48421.57,39243.67,21135.52,20683.78,15468.47,28788.93,28814.66,29484.71,29031.49,35075.73,45840.79,23765.52,23834.66,18235.53,65133.29,21889.98,99862.94,65826.49,23103.39,71747.4
418.3666a5.83,298646.55,338350.78,339485.97,326569.18,393673.21,312324.58,338705.4,333518.88,300056.12,326083.81,316197.07,27109.38,341712.92,193704.75,356914.25,288519.41,272088.84,363853.57,401421.03,289301.05,391992.42,221791.57,253953.5,470328.07,243300.24,114105.38,150549.92,33303.2,350697.06,81201.1,13989.62,281401.47,260377.3,242656.52,438614.4,364753.86,193326.49,83463.26,115652.19,91550.35,238872.1,260812.7,275923.16,338453.5,324573.24,220623.69,640748.01,171391.81,205675.31,421692.68,234375.18,349016.29,288480.87,115601.83,247176.69,126949.61,337564,728155.69,117323.27,220385.73,185468.4,340024.64,287297.94,206551.33,238529.41,349852.51,199959.65,354696.22,274983.25,326501.36,397761.69,417618.41,383013.31,331198.91,212344.25,370381.19,407854.04,379610.94,409459.37,375824.6,350316.26,298688.61,402086.17,395573.43,404094.76,419866.2,484363.28,432751.15
1009.7108a4.11,528930.34,313338.7,1051775.53,695430.63,690445.06,705534.75,1142938.65,685813.2,693054.63,822569.22,161618.39,17995.19,349034.48,152393.78,320866.27,1415518.06,239567.28,302360.59,268667.26,776560.79,250192.71,163387.27,203002.48,474184.28,230209,98884.21,139477.45,34578.93,112802.44,39647.41,10982.22,403174.6,196644.7,359229.68,559826.01,584020.76,256600.47,86870.9,109300.29,111353.02,230596.4,373977.73,75406.59,348494.58,397147.34,286818.42,268778.75,226051.8,295907.09,428709.55,327875.91,350317.66,82823.53,139385.79,150940.87,137788.02,517338.4,541912.16,153618.79,286278.5,59709.82,105020.99,509925.41,249330.87,406243.24,404976.48,251094.43,344409.59,389685.13,139546.64,29074.99,19848.89,18596.22,17796.66,196630.03,39181.13,25810.22,19023.04,17568.25,17147.79,19487.56,15953.54,23094.17,19526.75,19301.53,15574.61,27775.6,790511.98
479.4184a5.77,505526.1,453003.39,395312.72,406558.07,475285.05,309949.39,488917.7,480729.6,412292.62,312328.43,418018.57,40668.24,502091.45,232463.65,482834.02,375062.42,344842.96,438788.55,498453.43,473471.88,463797.39,218248.83,286705.97,651379.42,250074.85,142961.34,171805.28,54313.77,384484.6,90762.93,14788.15,257435,333954.13,311709.56,526947.91,524532.46,222887.32,84892.98,148559.6,106203.75,288521.74,383217.44,349259.36,418769.21,391512.57,275040.41,838181.98,220134.28,293407.26,521302.98,277903.39,430594.09,346566.09,151609.63,344167.77,180270.42,489795.28,888157.56,164690.71,319439.67,269871.29,425160.36,344008.62,240864.58,345813.36,420608.66,229083.27,470085.05,392456.23,377006.34,523128.04,434574.7,487647.46,519242.01,336889.73,396860.12,527868.29,498677.8,523097.85,490084.78,519626.33,372636.33,480647.78,488841.51,518744.41,483154.56,560888.12,537272.99
131.0921a0.44,463411.53,445725.59,331273.09,373656.24,419580.85,402397.94,396447.72,464763.97,322210.63,497424.3,325549.92,44708.65,497490.21,260802.55,489893.32,329222.8,307420.37,417379.89,394067.53,354884.67,510224.72,309740.47,242294.82,473619.9,319950.35,160895,139104.99,41784.27,297323.12,82479.86,14197.52,294578.63,279118.34,296357.3,532561.04,565531.33,303973.55,142441.25,189924.39,139619.57,409104.77,347886.03,323490.09,353317.56,331270.23,232919.68,703322.92,161817.08,286841.91,367082.54,334931.49,308098.71,358124.66,128381.57,395240.16,157040.25,323780.38,1119802.49,164000.48,270442.2,286710.79,325493.07,442328.1,256143.48,419706.38,399105.65,236342.54,564931.18,504402.22,365620.41,457922.15,686149.9,530454.48,545704.78,353696.56,473562.87,223599.14,482957.01,527197.17,424645.19,413266.89,356585.23,570991.38,363986.26,569546.62,1182808.09,792355.75,1358310.87
523.4454a5.71,489579.89,433576.03,347962.31,425753.42,414572.6,373681.33,401437.02,369660.26,424392.1,377539.95,395678.66,39724.45,492989.57,243844.03,455965.91,397842.87,299742.51,455753.28,482082.1,476822.53,458104.59,238192.63,281073.73,577462.95,297384.44,135598.33,166908.77,47310.28,411121.01,110714.15,16378.1,282672.89,338807.2,224088.67,502124.56,491130.43,225366.25,94334.71,145772.8,100613.22,293520.39,371550.2,302419.82,430401.9,414582.16,275580.81,728332.58,208296.74,288433.86,455994.93,275844.95,349396.47,301963.54,159070.6,336560.93,174584.62,470382.83,1071656.28,157627.64,258063.49,268186.85,366521.74,417655.51,253827.04,344492.44,428199.26,254646.44,515624.06,328128.1,445445.23,500449.19,431973.79,418078.47,438410.26,326496.31,408165.69,532598.55,362222.67,476889.06,395778.77,439221.6,318472.05,490741.4,405440.13,405846.89,465563.82,515843.07,506736.52
187.0652a0.65,354487.86,283858.85,187750.47,289426.84,180980.83,154768.18,176977.98,261862,183425.07,145220.76,119723.78,9796.61,97334.41,92874.22,147999.63,125140.14,112885.96,100294.42,65561.43,115969.57,102144.39,91696.18,55769.4,102922.38,49812.66,26934.82,38568.78,7778.27,55677.5,11388.76,2453.29,126948.47,72093.26,96799.76,156137.21,171687.82,70538.3,22328.44,37659.92,31404.25,58218.76,114897.53,91022.44,78762.27,61744.22,39537.68,268588.21,8161.98,43499.73,90965.84,59598.52,51562.76,59338.45,33780.15,80202.32,34002.45,128432.97,348054.53,44592.76,42096.49,71236.31,65245.32,71561.67,75084.76,82221.94,51311.44,55143.14,103978.08,115836.61,35971.87,139283.59,181886.31,245611.58,152824.75,55326.71,58726.85,175257.63,128600.58,65328.22,50382.51,47983.85,68406.32,73169.61,81734.26,216504.18,1106091.28,1186961.77,1100392.84
374.3392a5.92,250257.16,200320.3,194151.85,230322.68,221983.51,211496.3,220319.08,328268.38,190548.31,196930.48,192062.62,22955.93,237651.51,118546.63,240159.98,245718.78,172733.55,251212.82,277976.56,229937.52,261505.56,125824.31,202248.08,369360.04,184039.28,101184.67,109926.11,30568.83,254674.91,66062.56,10343.22,166757.75,214987.66,157742.9,324372.15,246955.99,110581.1,49426.91,78593.59,60568.9,163502.2,186167.23,175561.44,201980.59,234946.37,189161.86,482837.53,108812.38,171435.04,255078.56,146744.78,207708.15,209571.58,84925.06,229422.26,103898.92,279885.36,511583.36,85957.93,165271.63,138232.53,208699.32,249054.92,143034.62,207990.56,227817.33,151584.46,258192.73,196580.52,276375.01,259451.39,260072.94,267134.71,309560.16,180247.64,241941.8,262005.63,256197.49,265611.11,299280.16,318296,206163.73,260700.3,274562.78,270814.05,398023.95,451292.31,452016.12
165.0793a0.53,136378.54,182218.58,111493.23,163725.14,115047.05,100213.56,119333.24,158808.95,94914.29,110220.06,100289.97,6482.39,88361.12,26957.57,98732.75,67706.12,86390.79,82732.71,68764.78,90909.12,74903.76,51321.96,41296.32,60776.93,35611.1,20455.18,14088.12,3909.4,30915.82,8708.93,1238.38,67095.8,39375.93,47101.03,58869.53,65334.93,42724.14,18000.93,26028.76,21556.93,54119.71,47970.85,54143.8,37266.59,27249.27,22055.05,115030.38,22603.32,28226.01,41480.45,36610.01,36988.76,145907.39,16551.3,45506.87,17656.2,44239.43,176908.48,22778.64,30375,38683.59,34192.07,65623.01,45703.47,79016.72,68663.38,36608.77,80985.57,71358.54,59134.61,74375.64,88147.78,107334.78,83641.83,29366.69,73779.59,111559.88,68194.61,218810,89835.8,82148.55,44501.8,63378.65,91669.22,125475.92,754127.81,534026.01,918894.9
161.1051a0.48,1248670.06,421396.84,302114.22,1015132.19,1511590.74,789211.06,514546.8,353867.95,594300.69,406104.35,409304.64,31224.88,586180.17,218009.34,850347.55,463488.56,918151.18,1041883.89,566019.38,440388.51,385292.27,334328.04,433426.58,568224.09,252544.61,145298.05,279811.67,106629.77,437646.25,172105.52,62784.61,742784.64,254711.25,393786.87,641674.42,303540.32,136750.13,44147.68,948.76,87914.9,204709.16,267194.3,599883.38,1616089.18,506929.75,306080.19,1323545.43,337983.94,387300.13,695228.76,526261.81,1223518.3,888607.41,236895.01,362229.36,175799.61,573076.16,1193635.38,629549.43,421730.95,337719.23,1976088.35,258409.29,325063.44,362226.47,496231.12,423964.9,1548548.26,440760.45,742194.77,861907.37,819829.78,641467.69,915702.48,315723.62,285846.99,670560.91,535202.71,655797.59,1359179.05,951924.42,468505.92,1139218.77,1036625.02,727960.44,261726.38,131470.49,482949.92
567.4707a5.65,367909.41,323292.13,331029.52,396215.95,394729.54,313839.84,338747.09,360792.97,305827.82,271136.27,342336.46,32952.35,342696.09,204251.73,347324.72,326980.18,257776.68,362324.32,348873.03,401178.27,398496.52,224361.09,230902.6,450870.39,220252.03,116287.39,128355.73,43196.71,290675.3,85966.27,15857.06,248221.22,279397.46,218399.76,361628.46,417158.52,187368.23,69042.96,108105.13,87675.31,223069.15,253910.95,279840.38,305264.51,298619.37,238275.76,561419.94,161140.94,212657.94,356127.77,231358.45,340565.83,263051.96,115499.5,278088.37,119211,332592.14,809820.52,113791.04,211116.63,206602.32,309682.82,310091.78,198498.92,279347.19,312729.22,206399.26,365362.81,267702.55,326656.57,356773.1,442057.47,338580.17,367234.32,233751.86,325449.63,351741.81,362016.98,357675.34,342778.66,432110.47,271994.28,356064.99,369419.51,399254.38,371329.97,378417.97,405287.07
1392.9722a4.09,233206.15,137755.61,855502.66,328315.19,364409.35,400422.8,678799.79,304409.81,318503.49,417594.67,59256.26,6830.21,140150.55,60356.28,139710.47,901612.97,82690.01,120358.07,97198.55,379307.16,107130.58,56884.75,81745.75,188677.33,109497.42,40376.34,51900.27,12341.85,33250.25,15589.62,3903.32,218738.24,73147.44,148962.5,249358.44,250930.46,91748.62,31263.33,38296.28,43056.71,79603.18,161623.23,94919.98,103186.39,143802.91,104141.42,79682.39,88460.6,121165.85,197193.08,265915.28,259455.3,22839.05,89003.9,46313.87,54025.88,356880.9,224253.86,76935.63,102537.55,16024.57,30283.36,309729.17,105470.61,250094.44,158486.31,156463.35,118931.71,215968.06,46293.14,58973.58,46443.88,48663.17,44017.71,75490.58,62383.45,47809.84,37489.78,40471.3,35860.31,41534.12,28678.09,41582.16,34985.51,37748.28,19632.59,29857.25,394915.58
228.1364a2.03,209961.55,56618.62,190857.19,181439.26,164767.82,109413.89,108451.24,169138.93,104774.89,92469.05,67555.99,5037.81,974683.64,253734.11,524960.75,914399.67,95358.67,964175.07,76341.52,956446.42,98826.03,85276.97,9185.32,139794.47,30382.19,13209.7,78282.56,7340.65,25493.89,14883.72,8518.51,481762.2,286043.87,117388.98,137743.51,785420.65,167259.42,21327.34,13186.13,26293.98,142139.26,174504.23,30936.41,166963.42,879131.69,399465.84,29786.71,303167.89,418140.89,118043.34,280297.81,648570.78,12596.01,84741.44,29718.18,278611.9,1010803.43,75792.43,26677.73,43140.72,14389.1,25301.38,114572.92,59560.46,1093933.8,224454.53,27055.67,42403.69,295363.54,15823.83,30701.7,39235.93,23639.77,16849.27,21494.47,28701.78,20240.92,32147.46,28413.77,46325.08,10753.04,21476.39,30730.9,22658.06,27497.19,48675.71,55273.76,61783.81
662.4468a5.84,338000.76,592754.96,293016.61,336974.23,543314.71,502464.62,706820.69,1270859.53,365975.81,326517.73,406867.84,47222.36,253116.45,245189.59,776868.56,399890.53,347387.23,418185.79,648230.61,742342.25,788254.22,117360.17,267375.82,510297.49,290850.26,119379.03,137243.05,40658.72,884441.1,87460.98,10145,331613.09,304682.1,303283.74,490106.05,409178.72,155893.02,70280.88,99039.64,60997.31,289418.38,296852.55,403366.79,428903.25,416021.4,279258.05,769322.17,190099.54,137412.85,412199.85,210473.57,346559.11,359678.44,137828.48,355137.11,149037.66,394526.52,640358.09,251000.79,287726.87,217641.06,357797.34,283346.56,214282.77,406232.07,356258.02,146152.07,584886.44,321846.69,323445.11,495251.62,475682.82,321085.31,350315.01,322784.51,249469.27,426732.57,469811.56,516486.05,403992.24,381660.19,483749.49,511959.28,239236.87,496874.66,873305.6,210649.03,172114.89
227.1883a2.88,520842.2,218020.07,135022.7,122875,146608.53,281405.18,198742.44,131817.78,121267.34,134025.55,124039.33,25760.52,400873.25,155829.45,295045.2,89582.01,127563.2,151317.09,192932.35,77005.19,188151.64,122244.11,200620.35,643420.61,226343.58,135758.41,89027.3,32778.14,236295.1,93708.19,14968.45,157599.21,277654.21,204997.38,319019.97,494939.38,167693.56,62185,117423.4,146315.05,173512.13,287239.05,285191.03,328811.68,255320,270722.78,545072.29,166591.51,302442.06,722208.79,173808.91,340747.09,290838.95,109082.6,341650.79,145435.03,338670.02,1052872.07,162108.13,313127.63,260531.36,346436.19,372421,251657.46,369889.85,302167.71,370760.49,415204.14,324309.2,383225.95,439392.97,538814.11,589476.4,730191.27,333060.84,449503.4,667786.77,415758.6,540271.22,415763.94,529632.38,405728.17,568495.92,611359.54,1015263.51,893761.42,973509.58,829255.18
367.4166a5.86,18265.69,15958.37,13345.92,18920.69,10791.75,12562.26,19637.45,12830.28,6836.52,11017.78,11717.92,1099.01,27743.13,412244.96,31352.71,11136.47,13297.11,13887.08,16968.18,16436.58,9089.67,9108.41,15110.77,30183.46,7472.72,11035.07,6317.32,1228.21,12180.51,3896.24,507.53,13108.93,16331.81,17393.97,16320.46,22575.06,6566.78,2509.69,5349.76,4719.66,7146.31,14333.14,12855.77,11981.72,12985.64,17888.79,28278.87,13460.3,8415.87,17677.33,9448.69,11540.08,12901.32,4194.58,16998.82,6675.43,19356.03,36014.48,5934.63,14819.27,8560.81,14340.38,30625.8,8274.84,12379.07,22182.54,10913.49,13855.14,11986.23,11451.08,20067.14,19865.26,13761.37,13588.84,5981.01,10041.05,28130.88,13406.77,12727.55,18035.82,19003.33,13587.34,14931.24,15948.69,18367.42,7524.42,17908.08,15719.09
337.3331a6.15,252524.53,79635.95,18268.56,60137.65,37381.7,267213.84,153779.17,72385.47,94028.51,184476.86,62500.05,30216.85,156080.02,26910.43,80593.99,36397.7,94056.39,76541.25,169388.06,318590.48,118490.46,46210.69,64721.91,127996.12,60444.28,37250.29,13065.21,18290.11,62465.42,43116.93,11226.69,140192.89,232281.38,60174.7,153024.14,198392.59,29958.11,27813.47,28796.95,57707.74,37507.1,118308.55,364015.69,139391.36,94479.77,145309.97,164018.21,55100.88,122990.37,226180.95,100479.87,97922.39,85034.56,39371.62,230492.97,38549.84,189322.76,453488,86411.32,83618.84,97633.3,67452.3,78604.29,25977.26,149808.64,92954.7,68989.8,308791.53,155060.07,163385.78,140447.06,320826.55,327761.92,101772.6,213093.55,93460.07,103614.7,114275.68,83617.81,163384.6,298140.58,276719.99,140967.49,155319.1,404248.1,4691.09,2855.12,9882.77
192.1456a0.42,150079.92,47366.79,105306.3,218260.18,177946.05,158717.64,54874.53,101375.33,72645.01,108300.4,169179.31,4959.69,270198.01,367738.54,346369.77,344791.92,222994.76,365035.19,108532.8,542039.65,99859.55,132622.75,109940.33,174672.08,80459.61,90846.46,38586.7,6869.84,60979.77,81666.79,993.31,104317.42,594396.01,363965.01,396456.01,624734.62,77613.36,32384.38,26647.18,107582.97,187300.58,256147.35,328939.84,73843,281511.68,391080.38,76615.53,19896.5,375703.93,572018.43,86100.76,30471.72,116459.74,44550.31,225399.71,182468.13,323219.4,405899.89,49773.86,190660.26,27079.39,148108.9,303521.89,14815.88,205812.9,136415.79,13768.55,85641.24,39289.01,450074.2,50958.04,56779.57,346878.27,568049.69,156176.93,47347.94,590368.32,554487.54,175709.42,310471.42,220544.17,28898.42,15999.95,245803.68,161797.15,15094.58,167780.53,13727.39
