ID,[Area] Sample003,[Area] Sample004,[Area] Sample005,[Area] Sample006,[Area] Sample007,[Area] Sample008,[Area] Sample009,[Area] Sample010,[Area] Sample011,[Area] Sample012,[Area] Sample013,[Area] Sample014,[Area] Sample025,[Area] Sample026,[Area] Sample027,[Area] Sample028,[Area] Sample029,[Area] Sample030,[Area] Sample031,[Area] Sample032,[Area] Sample033,[Area] Sample036,[Area] Sample037,[Area] Sample038,[Area] Sample039,[Area] Sample040,[Area] Sample041,[Area] Sample042,[Area] Sample043,[Area] Sample044,[Area] Sample047,[Area] Sample048,[Area] Sample049,[Area] Sample050,[Area] Sample051,[Area] Sample052,[Area] Sample053,[Area] Sample054,[Area] Sample055,[Area] Sample058,[Area] Sample059,[Area] Sample060,[Area] Sample061,[Area] Sample062,[Area] Sample063,[Area] Sample064,[Area] Sample065,[Area] Sample066,[Area] Sample069,[Area] Sample070,[Area] Sample071,[Area] Sample072,[Area] Sample073,[Area] Sample074,[Area] Sample075,[Area] Sample076,[Area] Sample077,[Area] Sample080,[Area] Sample081,[Area] Sample082,[Area] Sample083,[Area] Sample084,[Area] Sample085,[Area] Sample086,[Area] Sample087,[Area] Sample088,[Area] Sample091,[Area] Sample092,[Area] Sample093,[Area] Sample094,[Area] Sample095,[Area] Sample096,[Area] Sample097,[Area] Sample098,[Area] Sample099,[Area] Sample102,[Area] Sample103,[Area] Sample104,[Area] Sample105,[Area] Sample106,[Area] Sample107,[Area] Sample108,[Area] Sample109,[Area] Sample112,[Area] Sample113,[Area] Sample114,[Area] Sample115,[Area] Sample116
name,Badlands,Badlands,Badlands,Badlands,Badlands,Badlands,Badlands,Badlands,Badlands,Badlands,11AS14,11AS10,11AS13,11AS12,11AS07,11AS09,08AS37,08AS26,11AS14,11AS10,11AS13,11AS12,11AS07,11AS15,11AS04,11AS03,15LO25,13LO12,11LO44,11LO40,05LO53,04LO49,16TU44,15LM54,15LM53,16BR81,11LK36,11LK32,11LK33,11LK30,11LK26,17TU493,99L09,99L09,14LO83,05L068,01LO34,17LO74,04LO58,04LO12,02LO43,01LO32,00L13,14LO83,05LO68,12LO46,04LO74,04LO58,04LO12,02LO43,01LO32,OOL13,15BB68,14BB17,14BB03,11BB35,06BB12,g13,y34,y33,g13,w36,y60,y48,p9,r110,w36,y60,r110,y33,y33,y48,r110,y33,b18,p9,g13,b18
class,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Negative,Sample,Negative,Negative,Negative,Negative,Sample,Sample,Sample,Sample,Negative,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Chronic,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Negative,Chronic,Chronic,Negative,Negative,Chronic,Chronic,Sample,Chronic,Negative,Chronic,Chronic,Chronic,Chronic,Chronic,Chronic,Chronic,Negative,Negative,Negative,Sample
year,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2014,2014,2014,2013,2014,2014,2014,2014,2011,2011,2011,2014,2011,2011,2011,2015,2016,2016,2016,2017,2013,2016,2016,2016,2016,2011,2011,2011,2011,2011,2017,2012,2014,2017,2017,2012,2017,2017,2014,2013,2014,2013,2014,2014,2017,2013,2013,2013,2015,2012,2013,2015,2014,2014,2015,2014,2016,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
229.24a3.39,15472.92,8309.88,6618.42,9287.05,8001.33,10440.66,11448.69,8767.34,6473.7,6379.83,10994.56,944.45,26325.32,8771.47,13491.1,9854.76,8290.73,11845.1,12777.19,8227.66,12905.28,6985.18,13229.16,17840.48,8448.35,5960.37,5894.63,1748.15,12720.51,3317.43,621.59,8590.58,11441.16,19045.08,17996.58,14441.99,6237.4,2986.82,4390.67,4082.12,18855.29,16809.69,13862.11,14571.05,119903.11,15247.2,27994.62,11199.99,15944.1,18915.07,10631.58,22294.71,15004.12,9549.96,15473.6,7452.36,22923.41,36544.56,5427.22,18749.6,8378.09,15982.48,13018.65,8829.98,12447.4,21113.59,9731.74,14817.61,14161.17,16009.65,20802.96,20104.37,17430.08,17440.17,10294.47,16128.16,21542.72,18907.11,16511.66,16745.8,57964.02,12210.8,14927.28,19043.79,27675.69,15879.64,17675.3,16744.77
182.0734a1.76,18560.56,18859.75,13330.81,15690.29,20527.18,26702.97,49835.3,15901.44,17111.22,12734.51,24848.06,3829.94,15423.18,24155.59,22598.66,7524.99,18894.17,13792.62,56935.78,14564.74,27253.05,14037.14,30279.11,71026,31723.38,17283.96,14119.44,6591.89,34773.73,13569.89,2172.31,17693.23,27546.58,25118.78,51961.56,66980.83,15856.92,6872.44,8914.18,8406.32,11784.96,32561.83,68553.45,21614.41,30632.37,29807.29,88127.86,23928.06,28737.96,89662.81,4758.62,27921.95,46022.9,12254.68,41304.86,13715.72,18467.94,130525.76,15497,38511.19,36117.22,50933.78,19747.43,27624.01,8559.54,36149.53,29357.94,53263.97,22207.53,49004.41,73920.69,95502.07,81179.94,79044.45,35398.29,47670.91,69354.52,55667.63,59786.21,52785.03,84081.97,50852.2,67103.54,85127.49,105185.61,119032.27,111196.88,128717.62
230.1293a1.38,133497.03,120832.14,72399.9,124589.09,111243.82,128075.67,102084.39,58292.89,55822.86,81761.69,67037.55,8144.85,65864.08,55992.93,118193.44,98794.79,85858.75,50527.39,105270.51,100819.88,91446.33,70102.14,88514.32,158966.25,62772.39,37491.79,45143.84,13365.6,103643.41,24876.81,5906.65,64320.98,82831.52,67398.16,113790.16,129182.12,51722.2,20614.13,27218.75,25614.53,60510.31,96749.24,87240.35,98054.63,96807.61,94658.95,266733.13,55991.41,63970.67,107316.62,104703.13,102349.87,97245.61,36037.2,113912.82,47060.49,113579.73,295485.09,57977.45,76016.29,68785.66,112809.98,92533.8,72560.84,79786.73,114117.94,62695.56,171840.35,99384.61,137702.83,171539.35,174238.35,159880.45,137523.01,97182.64,132227.21,163071.84,158077.34,165692.76,150584.93,135130.94,118133.48,176423.75,186461.86,180143.28,191006.2,204431.58,86967.19
371.3373a4.49,112324.94,47966.47,22807.97,40516.13,46224.01,102311.31,82270.11,45279.66,18799.55,44486.1,19083.43,2713.36,37941.11,32089.4,23605.27,35774.88,24546.22,54407.54,70038.32,31826.19,44523.08,35169.97,77712.92,51807.29,38997.97,21248.37,10165.62,8891.06,32243.6,7341.73,4122.55,15856.13,48562.41,22349.32,32493.86,50910.57,12571.59,16155.01,10134.33,14858.43,23405.09,26103.7,48117.48,22678.11,48874.59,76342.51,55553.03,11856.31,36819.73,72373.41,39105.3,49467.7,58458.26,20652.62,45272.63,8824.73,56160.42,158095.23,42985.7,114583.36,44444.88,59139.91,54350.17,57294.22,51055.98,68852.55,26448.16,109692.33,28930.81,27972.29,124711.96,79682.78,65030.3,45516.13,58930.66,47624.08,123165.15,130077.34,80845.34,34308.25,45201.91,83476.29,62321.31,107828.28,68122.32,21542.51,49588.43,20589.39
157.1094a0.43,40296.55,27311.74,98369.14,37987.92,24232.03,24404.35,87053.72,91679.95,36444.76,91549.48,15050.89,2388.3,21034.63,54724.13,66151.08,9684.22,13029.43,34726.41,12953.09,50197.21,8182.13,18561.75,12812.63,28107.46,12146.04,1794.09,18435.82,4367.81,71763.4,16164.21,238.49,70268.65,16620.15,19967.26,36067.43,40992.5,9952.98,5205.43,1631.58,6749.06,5091,33070.33,43952.34,30653.2,48349.47,50456.97,111076.14,10143.46,51822.56,82801.5,64867.55,83220.5,89338.18,17647.11,39456.61,35500.82,90573.06,287956.06,18178.8,55177.66,3317.47,110557.98,18441.32,16881.59,7154.52,6511.8,27245.64,88445.88,54143.41,157639.69,20608.4,23534.72,28985.96,22016.64,44293.12,36029.11,208698.82,626592.12,133651.27,67797.03,6486.56,88203.48,90906.89,157979.54,177154.69,28523.78,272059.5,14794.96
633.442a4.5,32821.15,28395.39,15255.43,30277.41,31347.49,32974.48,35975.11,29347.5,27949.88,17024.89,38517.64,3567.4,104378.86,32022.12,57210.62,97508.19,34797.16,88253.59,45619.17,83905.29,49001.83,21183.38,32074.83,84543.45,27837.11,13537.54,18768.75,5574.17,63810.19,9683.93,1724.04,56644.73,60591.13,35711.01,61869.21,71223.18,46523.14,12438.9,24814.85,21173.24,53695.54,39210.03,31493.63,61607.29,63777.41,38061.62,77180.09,824586.19,41915.71,74247.78,67592.69,105282.95,36451.41,19091.42,37238.87,25117.84,119364.61,67461.53,14361.74,28175.39,21644.56,34822.92,46098.57,24074.44,62745.52,42127.47,24081.04,46236.85,48158.26,40380.03,64075.58,31896.03,44453.5,42406.47,29706.82,37767.27,43556.52,42421.2,44951.33,45261.42,43766.14,31542.07,61871.28,57159.23,444503.65,166455.73,65418.29,39704.14
353.3256a5.31,32357.72,42656.62,14623.84,24186.6,19027.92,30585.47,36133.61,41270.37,14033.11,17146.22,9766.25,2774.54,31517.31,8093.95,23921.49,18003.7,28401.38,28538.35,41560.45,10625.49,15808.46,24439.6,43722.5,29169.54,15866.03,9644.41,5945.03,3715.63,18870.4,6101.51,3488.95,19056.27,30613.9,7630.35,21741.47,30606.28,12465.97,5794.82,7047.48,12595.38,18668.45,17578.08,78060.9,25784.98,42950.97,80914.3,43337.57,14899.33,22114.6,64727.59,69055.87,21690.91,24209.38,13061.08,27969.67,11361.81,87080.3,66584.98,34986.74,29877.72,31521.2,27816.07,16487.06,16840.47,28527.08,24734.49,25643.69,38736.13,28650.12,14628.87,29511.42,20989.86,51871.44,37334.91,65622.78,25253.29,68020.96,55732.14,23209.47,22715.94,42007.89,51030.25,46293.18,49832.7,46529.27,2840.51,10129.93,6198.1
314.2425a3.57,27968.08,67572.47,43410.54,72067.09,65079.66,69419.69,95929.65,130312,40775.41,56966.31,23249.55,5524.65,107850.78,19709.8,57653.96,43693.17,45898.85,45533.71,89009.64,86239.59,25119.03,69219.53,79718.17,36701.05,47171.7,43792.14,19796.85,3401.07,38789.13,14129.22,2241.66,61030.83,73934.05,89497.24,59601.38,98356.45,15697.62,28902.56,24000.83,4213.15,58384.4,21735.63,67101.34,215578.41,56679.04,14317.45,1228761.82,43426.22,44007.57,58788.57,71655.71,66467.49,40462.31,21536.71,65881.8,30744.27,93089.02,62097.43,56358.77,32765.6,29431.85,79733.44,52930,61531.11,49512,47158.73,34293.96,87133.5,73922.83,11845.46,25743.07,88074.36,23899.84,84336.81,46060.26,31253.36,122661.33,87569.66,83818.19,50474.55,115995.23,81718.06,63334.14,27925.53,110068.56,78020.08,79631.63,50792
193.1111a1.33,59542.62,137518.9,91636.48,111375.76,80222.75,74869.34,50727.7,156600.27,55486.06,45430.81,171242.74,5631.72,19407.1,37794.04,152999.44,90376.51,58893.49,92832.41,19728.76,97174.92,29614.19,103018.18,148758.57,140954.11,43078.9,64981.21,37114.3,15195.66,71964.11,30833.59,3554.66,183004.76,64798.32,31318.34,313061.22,87261.62,23462.47,9805.02,14165.19,16808.86,128784.9,18092.92,49628.98,72334.81,145203.87,50775.92,144660.4,62856.6,56707.58,127941.38,7778.77,61628.45,49343.2,20607.8,79413.83,31434.84,68374.87,205919.86,32446.58,57097,16751.31,59450,60139.38,87202.89,62068.79,162584.45,49489.92,61923.79,86504.5,180293.5,62458.62,66661.85,101276.87,117560.68,62459.51,85321.54,58182.7,35622.21,196746.07,56647.57,66830.92,70730.97,47116.1,68234.71,98957.36,109755.54,105471.18,77271.44
369.2339a1.56,154939.1,60291.42,131280.33,85704.79,54380.39,109659.95,163090.76,140670.4,47963.72,100282.17,43943.77,1519.68,48595.56,19526.92,37801.58,117392.77,27220.35,67970.38,33435.59,131482.11,34885.15,29092.55,29903.16,48585.23,20677.52,5607.02,11821.91,4132.25,36517.22,4416.92,584.53,17405.03,122278.63,12039.88,51013.82,19647.1,20409.73,6758.12,10907.06,10487.24,9461.2,38808.38,22547.07,51086.45,44027.12,26086.12,114600.47,20003.07,25940.7,52247.97,45840.67,13426.03,30598.43,12529.82,89727.67,13912.06,55973.89,247176.03,6322.08,45872.49,38532.79,25914.84,46566.19,31757.29,32978.66,28807.19,23948.69,34686.63,71557.74,14546.67,8716.74,6878.55,7692.82,6429.91,23938.67,2990.75,5603.5,6384.33,6697.81,7691.73,9990.62,8082.3,6533.9,5820.55,11370.49,7918.27,14035.54,60636.27
